Comment|No|Yes|Kind of offensive language
....blitzkrieg na media. I nocne maratony parlamentarne, w których nie ma dyskusji i ekspertyz - pisze Wiesław Dębski..... Nie zapomnimy wam sprzedajne psy nieudanego skoku na lasy panstwowe i to nocnego!|1|0|1
Dębski ..dobra *ciemny lud* to my a pan to kto???????? Jaka to znów nowa kategoria obywateli,która ujawniła sie w Polsce????? Będzie pan łaskaw nas poinformować????? Bo mnie się wydaje ,że jesteś człowieku zwyczajnym SZKODNIKIEM|2|1|1
Ten to dopiero jest chory na leb!|1|2|1
Gdyby wyborcy Pisu potrafili się gramatycznie wyrażać,nie głosowali by na Pis.|13|6|1
Nie chciała skorzystać z rekolekcji padre maybacha i legitymizować moherowe pismactwo. Szacun !|4|2|1
Ciebie też oderwali od koryta że tak kwiczysz ?|1|0|1
A mówią ci coś jakieś nazwiska oprócz kaczyński?.Przecież wy jesteście pisowskimi analfabetami|54|16|1
Dębski a co to z Łgarz  z rodziny volksdeutschy czy NKWdzistów|2|0|1
schulz  nieuku nie  dorosles do tej funkcji,masz skonczone tylko gimnazjuma rozum jak gering napelniony nienawiscia do Polski  ztakiej Uni najlepiej sie wypisac jak najszybciej  uni ktora rzadza  niemcy|421|227|1
szkoda że nie pękł.|0|0|1
PROFESOR GLINA NA ŚMIETNIK !|3|0|1
Przecież ten burak nawet śmiać się niepotrafi. Stuczny kaczor.|3|5|1
Ryży kaszub nadal szczuje na Polaków i Polskę! Co za podły zdrajca i sprzedawczyk Polaków! A pigi na bank mu towarzyszy! Za koryto wszystko! Czas to tałatajstwo postawić w stan oskarżenia!|11|5|1
Będzie jeszcze płakał ......Kutafon  Szczypińska napisała że zrobi 69|2|7|1
Grozi nam tez katolizacja!!!! Panstwo nie powinno popierac zadnych religijnych kitów i mitów.|17|7|1
Erd  !    Antypolskie szumowiny to miedzy innymi Pawłowicz i Jackowski , którzy szkalują Polskę w Kurierze Chicago z dnia 5 - 9 stycznia 2015 r.  swoimi artykułami . To jest obecny Rząd Pis-u  WSTYD !|1|0|1
sam z siebie bo zamiast słuchac zajmuje sie gupotami jeden spi  druga je trzeci w nosie dlubie i mają kabaret|1|0|1
Zdziecinniały b......|1|6|1
Napewno podziękuja im emeryci i renciści za ŚMIESZNE podwyżki. Od 50 zł dla najbiedniejszych do 400 JEDNORAZOWO NA ROK Brawo co za idiota to wyliczył. A oni pensję będą mieć bez żadnej kontroli.|9|4|1
Natychmiast do lekarza udaj sie. Z Twoim umyslem wyrazne klopoty.|4|3|1
Głupi ludzie jesteście, że wierzycie tej dyktatorskiej zarazie jaką jest PiS. Zamiast wprowadzać udogodnienia dla obywateli oni wprowadzają kolejne opłaty i podatki, na których stracimy my wszyscy. Ponadto zauważcie, że odkąd Kurski jest prezesem to rozmowa po wiadomościach nie może się odbyć bez udziału kogoś z PiS. I to ma być odpolityczniona i rzetelna telewizja? To jest już telewizja partyjna i powrót do PRL, gdzie TVP będzie musiało siać propagandę polityczną partii rządzącej. Lecz wam barany idące na rzeź taki sposób postępowania się widocznie podoba. Zobaczymy co powiedzie jak za ten chłam każdy będzie musiał płacić abonament w postaci podatku, bo takowy PiS szykuje.|2|0|1
tw bolek ty sb-ecki śmieciu zdradziłes klase robotnicza sprzedałeś żydom i innym kanciarzom, na pohybel ci|31|14|1
mnie się nikt nie pytał,puste pisowe łby w tym kraju będzie gorzej jak za komuny|5|3|1
A MOŻE JEST W CIĄŻY POZAMACICZNEJ POPRZEZ INVITRO|5|4|1
Najwyższy czas był na Nią !!! Jak dla mnie i tak za późno o 10 lat!!! Mierną dziennikarzyną , zakłamaną była!!!!|1|0|1
Żenuła. Weź im wyliż.|1|0|1
Pisiory je......ne!!!|4|0|1
Polska stała się niewolnikiem i bazą usraela i służy jako kundelek obszczekujący wrogów jankesów|1|0|1
zobaczył jakie czubki na nich glosowali|1|6|1
A ja wiem co go wprawia w tak dobry nastrój i z  czego tak się śmieje.Z głupiego polskiego narodu,że dał mu nieograniczoną władzę.Szczerze nie dziwię się mu ,że tak gardzi tym narodem.|2|0|1
przez takie działania dojdzie w Polsce do rewolty,Proszę zwrócić uwagę,że w zadnym proteście nie uczestnicza górnicy,hutnicy,stoczniowcy,chemicy,pielegniarki i dziesiatki podobnych profesji-które swoja praca przyczyniaja sie do  dobrobytu ojczyzny-a pyszczą tylko ci,którzy są beneficjentami tych cięko pracujacych.Może się zdarzyć,że jeśli  nie uspokoi  PO,Nowoczesna i różne inne KOD-y smrody swoich krzykaczy-to poleje sie krew.A tego chyba nawet Tusk by nie chciał?Chyba,że Kurski miał racje,że to wnuk dziadka z wermachtu...........................i mści sie za przegraną wojne......................|31|25|1
Z kopytnych przy usuwaniu od koryta !|2|1|1
BOICIE SIE PISU MACIE CZEGO BO TO SA PRAWDZIWI POLACY A NIE FARBOWANE LISY TYPU  TUSK;  PETRU I INNI TEMU PODOBNI  KTORZY SPRZEDALIBY POLSKE ZA PARE SREBRNIKOW ALBO POSADE W SPRZEDAJNEJ UNI KTORA JAK DOBRA  DZIWKA WYSTAWIA DUPE NA PRAWO I LEWO JAK WIATR ZAWIEJE|19|15|1
czyli biora pieniadze na taka cenzure informacji jaka jest niemieckich mediach ? Wcale bym sie nie zdziwil w koncu Rysiek i jego szczekaszka kochaja bardziej Niemcy niz Polske|15|12|1
gdzie ten sondaz robiono. w toruniu u rydzyka oblesnego|3|2|1
Nie bądź śmieszny katedra symbol chrześcijaństwa.|28|3|1
Każda Europejka może we własnym kraju chodzić bodajże nawet w samym bikini a żadnemu smoluchowi nie wolno jej tknąć. Od tego jest policja żeby tego pilnowała. Jak komuś nasza europejska kultura nie pasuje to won do siebie na pustynię wielbłądy poganiać. Gość, czy nie gość, uchodźca, czy imigrant ma szanować i dostosować się do naszych praw i zwyczajów albo wypad.|23|2862|1
Zakułbym jemu tą je*aną morde !|1|1|1
Co te dwa puste zakute łby to jest Gliński i Lisicki robią w tym programie jak na nich patrzę to mnie na sraczkę zbiera.|1|0|1
o mój Boże jak się wkurzył ,,bolek lolek,, przecież cały czas ludzie wytykają twoją wałęsowicz przeszłość agenturalną , a tu dopiero dziewczynki go wkurzyły jak z kościoła wychodził , ale numer. Z kim chcesz rozmawiać zdrajco narodu Polskiego, jak już musztarda po obiedzie , wszystkie dokumenty  z których wynikało to ,że byłeś kapusiem kolegów sam osobiście poniszczyłeś i teraz chcesz spotkania i rozmawiania , że nie byłeś kapusiem , jak śmiesz ,mam nadzieję , że są jeszcze dokumenty z których dowiemy się o wiele więcej ,których nie zdążyłeś bo/ch/aterze zniszczyć, a staraj się o spotkanie z ludźmi ,którzy mają dokumentu na twój temat i uważaj abyś sam sobie sprawił niemiłą niespodziankę i piękna banka mydlana   w końcu pryśnie .|37|23|1
Żegnamy z radością......POwska picza|3|2|1
Co ty żresz ,że jesteś taki durny|10|3|1
A czego spodziewać się po merkelowym targowiczaninie!!!!!!!!!!!!!!!!!!!!!!!!|11|5|1
Rudy zdrajca|32|18|1
Wy pislamskie trolle|5|3|1
AAAnnna   moze  ty  z  glowa  cos  nie tak  masz,  ty  durna  i  zawistna  babo. Spójrz  na  siebie  i ocen  siebie  ,czy  aby  z tobą  jest  ok,  bo  chyba  nie  do  konca . Nie pasuje  ci  Kaczyński  to nie patrz  na niego,  a najlepiej  nie  komentuj,  zajmij  sie  soba  bo  chyba  masz  co do  zrobienia!!?|1|3|1
Petru nie ma problemu . Problem możesz mieć ty i to całkiem przyziemny . Dotyczy to wszystkich nieudaczników.|7|1|1
Przeczytał komentarze w internecie, w których PiSdnięci naiwniacy wychwalają prezesa i jego dotychczasowe poczynania niby zbawienne dla Polski. Uśmiał się, że aż tyle baranów tak mu święcie wierzy.|2|1|1
Ryży, mściwy się odezwał. To za twoich rządów wygaszany był przemysł, stocznie. Najważniejsze było to, aby Kulczyk jak najwiecej zarobił, a przy okazji PEOWSKA JELITA.|10|5|1
I co lewackie prostaki,  lokomotywa jedzie dalej!!!|3|2|1
Otworzył paszczę ,zobaczył stan swojego uzębienia ,który się odbił na ekranie tabletu ,myśląc ,że ogląda reklamę pasty do zębów ,no cóż głupich nie sieją ,sami się rodzą ,a najczęściej w parach . Tacy Polscy głupi i głupszy ,głupszy już nie żyje ,a głupi został aby się mścić na narodzie za swoje kompleksy i urojenia .|1|6|1
napisz jeszcze  jam jestem POmylony głupi  i do psa POdobny|37|22|1
Z pewnością śmiał się z downów, którzy głosowali na Pis.|2|0|1
CZEKAM  NIECIERPLIWIE  KIEDY  ZWOLNIĄ  KURSKIEGO.|1|0|1
Chyba jak co miesiąc masz słaby tydzień.|0|0|1
POLACY COŚCIE ZACZADZIELI - TRZA DO APTEKI PO PISODMULAN|4|2|1
Czekajcie wy PISowskie hieny. Jeszcze będziecie skomleć żeby POpaprańcywrĂľcili. Zatesknicie za nimi. Niejestem ichzwolennikiem ale wole toniż tych PISpajacĂľw.|10|3|1
Super dziennikarka!!! Szkoda nawet pisać o wariatach z Pisu głupoty i chamstwa tych polityków|4|1|1
a co na to rysiek pierdu ???|6|5|1
Nareszcie Pan Prezes pokazał twarz człowieka niespełna władz umysłowych. Mały człowieczek, a jaki zadowolony z siebie. Porażające.|3|1|1
Pozbawić tego zdrajce obywatelstwa!!!!!!!!!|16|7|1
A MOŻE CIESZY SIĘ PRZED WCZEŚNIE,ŻE ZOSTANIE WRÓLOWĄ WOLSKI I ZACZNIE ZBAWIAĆ CAŁY KATO-PISLAM|4|8|1
hunta pisowska na stanowiska wprowadza wlasne pro pisowskie fekalia rynsztokowe|2|1|1
Tusk ty dziadu na wygnaniu byś się wstydził Polaków co robisz .Poczekamy na ciebie jak wrócisz to Cię osądzimy >>>>>>>|32|22|1
a ty kto jestes -chyba eskimos bo polak na pewno nie !!|5|1|1
czy ona jest normalna????? niech da jeden przyklad ze ktos ja skrzywdzil jeden przyklad ze kazali jej cos powiedziec co nie jest prawda !!!!|1|0|1
mas racje temu spaślakowi źle ze ślepiów patrzy .ma te oczka kaprawe|1|0|1
te barany ciemne co tak krytykuja obecny rzad... uwazacie osly tepe za za PO rzadow byla demokracja??????? cos baranie jeden drugi za darmo za marna pensyjke robiles i g...o z tego masz tamci u wladzy majatki pozbijali a ty co? co miales parobku do powiedzenia?? NIC sieroto jedna.anarchia i bezprawie ...okradanie narodu przekrety i afery i ty to ciemna pala z druga demokracja nazywales????|7|5|1
Paradoks polega na tym, że ciemnogrodowi wolność nie jest potrzebna, stąd wzrost poparcia dla pisuarów mimo antydemokratycznych działań.Młodzież natomiast siedzi tylko w internecie, jest tępa i bezideowa więc zauważy coś dopiero jak ją dotknie coś bezpośrednio.|13|7|1
Parchowi ogolić łeb na łyso i odesłać do '' proroka '' z ul. Czerskiej .|2|1|1
Herr Tusk powinien zostać uznany za "persona non grata" w Polsce za działalność szkodzącą interesom Polski. Zdrajca! Kolesiom odebrano żłób i trzeba postawić całą UE do ich obrony? Żałosna PO!|13|6|1
Następny ciul chce rozliczać rząd po dwóch miesiącach od zaprzysiężenia.POgodzcie się z tym że będą rządzić przynajmniej 4 lata.|1|0|1
do dooopy z tym wszystkim|0|1|1
Ten zdrajca i karierowicz niech sie od polski odczepi! Niech pilnuje swojego stołka i nie krzyczy za dużo bo jak wyjdą wszystkie jego afery na światło dzienne to z tego stola spadnie.|104|102|1
Idz i nie waracaj|4|3|1
Oglądał na pewno manifestację KOD z z tym żulem z kolczykiem w uchu Mateuszem Kijowskim i brednie które za kasę Petra wygłaszał dla głupców.|24|47|1
Brzydzę się ludżmi typu Budka Petru którzy dla własnych interesów szkalują Polskę.Budka uśliniony pluje jadem, a tej wyszczekanej od Swetru nie idzie przgadać, w kawie na ławę pokazują swój kunszt.|5|3|1
Prezydencie Walesa, oni i tak stchorza!!! przeciez to smieci sa, wykorzystuja bezkarnosc i tyle!!!|3|0|1
Wp ma już pisowski zarząd. Teraz tylko będa wyssane z palca a właściwie z żoliborza bajki o PO, Petru czy PSL A PIS i Kukiz będą wychwalani. MASAKRA. Sprzedajne wp.|13|2|1
P. Tusk boi się SPRAWIEDLIWOŚCI - dla niego POLSKA TO NIENORMALNOŚC - dlatego tak ją niszczy.Nie dopadnie Cie sprawiedliwość ziemska to dopadnie Cię sprawiedliwość boska - za zdradę !!!|109|8|1
to dr z UJ  jak Zyza i jemu podobni.  wg nazwisk..synowie Ubekow atakuja Walese|1|0|1
a ty za takie oszczerstwa powinienes odpowiadac szczekaczu|1|0|1
W końcu rudy kapuś za darmo nie dostał stołka|1199|149|1
Po to mądrzy i piękni Ludzie, Pis to brzydale ciemne ojtadańce !!!|1|0|1
Tusk to zdrajca narodu polskiego na usługach Niemców powinien dostać w łeb za działanie na szkodę Polski i podrzeganie przeciwko naszemu Rządowi POCZEKAMY AŻ WRÓCISZ ZDRAJCO ZAPŁACISZ ZA TO|52|28|1
jadosaw ma ułaskawienie podpisane inblanco i możesz mu naskoczyć|7|0|1
Precz z Targowicą. Dosyć tych zdrajców!|156|94|1
PIS TO PATRIOCI I TYLE W TYM TEMACIE ZDRAJCY Z PO!!!!!!!!!!!!!!|4|2|1
Po co wam w tym pisie tyle kibli, macie tylko sławojki i wychodki. Chyba ze ustawiacie te kible w swoich salonach i modlicie sie do nich za zdrowie tych co tak kochacie. Słome do tych kibli zamiast papieru też kupujecie?|47|4|1
To są metody prawicowej hołoty. Zastraszanie, groźby, fala hejtu i grzebanie w przeszłości rodziców.|7|6|1
No i co ?? - sprawdza się powiedzenie że rudy jest wredny....sprawdza.|71|35|1
MARIA    NO  WRESZCIE NIE BĘDĄ MI GRAĆ NA NERWACH CI WYWALENI Z TV ,KŁAMCZUCHA , TEN KRZYWOUSTY Z IRONICZNYM UŚMIECHEM . WRESZCIE .PROŚBA DO PANI PREMIER    NIE DOPUŚCIĆ DO UTWORZENIA SIĘ NOWEJ  BANDY BO ZAKUSY BĘDĄ , WTEDY BĘDZIE KONIEC Z POLSKĄ.|42|22|1
Chrystus i M Boza  wie ze Walesa to szlachetny i  bohateriPOLSKI ISWIATA!!  i   super  katolik..a ci co go oczezrnija maja  nie jedno na sumieniu....rodzinka     ubecka i  gnojkow|3|1|1
PO na PiS i odwrotnie a naród otumaniony zenada a jedni nie arci drugich|8|3|1
Poczekamy zobaczymy co pislamisci ci dadza|2|1|1
"wielu członków polskiego rządu uważa go za największego wroga państwa" ? Raczej cały naród, z wyjątkiem innych zdrajców.|36|16|1
tusk ty łajzo do Polski już nie wracaj, poproś merkelkę o azyl!|108|7|1
Naiwniaku, PiS zrobi wszystko żeby prawda o aferze podsłuchowej nie wyszła na jaw. A dana i inne głąby jeszcze się nie zorientowały. Albo dobrze to wiedzą, tylko za pieniądze piszą swoje.|60|8|1
A g... mnie to obchodzi . To nie konkurs ortograficzny.|0|0|1
300 głupku. Przepiłeś!|6|1|1
ten co jest bez winy niech pierwszy żuci kamień.Pis wam całkiem umysły wyprał|10|0|1
A czego można spodziewać się po folksdojczu i zdrajcy ?|1189|143|1
Jak zwykle pisowskie brednie co ta banda jeszcze wymyśli.|18|1|1
Jak to mówią " tonący brzytwy się chwyta" To tylko pokazuje prawdziwe oblicze 25 lecia metamorfozy komuny w liberalizm zwany PO Na szczęście większą część społeczeństwa oddało głos na PiS i polska jest w dobrych rękach. Trzeba się tylko pozbyć i wsadzić do kicia tych wszystkich krzykaczy co im koryta pozbierali jak Lis, Pietru czy Schetyna, oczywiście Tusk i byłą premier w pierwszej kolejności|55|14|1
księża napuszczają dzieci kościół zrobili polityczny ale sami chowają się za ołtarz ze to niby do polityki się nie wtrącają fałszu nauczyli się od Judasza|2|0|1
Rudy zdrajca|103|56|1
No proszę !!! czy ktoś ma jeszcze wątpliwości z kont biorą się takie ataki na Polskę ?? przez judaszy i sprzedawczyków  , mówiących  PO polsku !!!|425|387|1
przecież to skandal  nad skandale  wiadomo że to prawdziwi polacy pisowskie/|11|2|1
A co na to Pan Schultz i inne unijne owczarki szczekające na Polskę PO donosach liberalnych demokratów z PO ??? Czy Pan Petru nadal będzie bronił ( co niechętnie piszę , bo Kaczora i jego partii nie lubię !) "UKŁADU" ???|26|12|1
gg    szkoda  ,ze  ty  masz  inteligencje  na  niskim  pozmiomie.  Ale   coż  zazdrośc  to  wasz  najlepszy  przyjaciel   ha  ha.  Do czego  wy  jestescie  zdolni.  Żenada|0|0|1
Tyle czasu Niemcy trzymali go w budzie, a teraz jak trzeba szkodzić Polsce, to wylazł...|17|11|1
Bolek spokojnie bo ci żyłka pierdolnie!|3|2|1
Łatwo jest kogoś obsobaczyć, opluć i nie ponosić z tego tytułu żadnych konsekwencji! Gdzie byli ci wszyscy oskarżyciele Lecha gdy trzeba było nadstawić głowy swojej i swoich bliskich? Przecież ktoś wybierał Wałęsę na szefa SOLIDARNOŚCI i głosował na Niego gdy wybierano Prezydenta Polaki!!! Wstydźcie się wszyscy tchórze i intryganci dzisiaj, po latach deptający ostatnie autorytety Najjaśniejszej Rzeczypospolitej! Naród bez autorytetów jest Narodem bez historii a Naród bez historii nie ma racji bytu! Czy tego chcecie nędzni oczajdusze? Wysyłacie dzieci aby szkalowały człowieka bezprzykładnie oddanego Polsce? Wstyd i hańba!!! Do czego jest zdolna chamska nienawiść i chęć nieuzasadnionego odwetu małych ludzi!!!|5|2|1
PIS i duda doprowadzili do tego!!!!  Będą mieli krew na rękach, tak jak z BLIDĄ !!!|2|0|1
Ty pyszałku z Sopotu wydarzenia za Odrą są bardziej interesujące i koniecznie wymagają dyskusji na forum UE były Polaku.|31|12|1
mam nadzieje ,że tych oszustów - ktoś wreszcie pozbawi  wolnosci  w imię dobrego imienia Polski i uczciwych naiwnych obywateli.TERAZ GDY SYN mnie zapyta  Tato wyjezdzam z Polski sam pojadę i kupie mu bilet.Osąd nad oszustami powinien się rozpocząć od samej Gory  bo nikt inny nie wydal by takiego rozkazu.A  Pan Kosiniak rozbawil mnie do łez  dzisiaj o 8 -40 w TVN na Zywo jego udawana mina nic nie wiedziałem bezcenna.Pozdrawiam  POLAK|26|11|1
Tego tuska partie PO Palikota petru bronka z WSI dworaka stworzyły komunistyczne służby PRL WSI agentura moskiewska ulokowana w Polsce ten syf PO jest na sznurku byłych UB -kow i na pasku gen.Dukaczewski gen.Czempinski PO petru Palikot to ZARAZA dla Polski|73|39|1
Zdrajco nie wracaj do Polski.|53|24|1
Radek.... takiego matoła jak Ty bardzo łatwo zmanipulować, towarzysz Balbina, pseudo Jarosława Kalkstein/Kaczyńskiego, to znany syn warszawskiego komucha i nacjonalistycznego Żyda Rajmunda  Kalkstein/Kaczyński, który pomagał Sowietom w wyłapywaniu członków polskiego podziemia  AK, oraz był jednym z 3-ech osób, które to wydały w łapy gestapo polskiego generała Grota.........a kto wie, czym mógł zaimponować oficerowi SB Jarosław Kalkstein/Kaczyński, że ten po odmowie podpisania lojalki wypuścił go wolno i nigdy już nie nękał?....|7|5|1
Prezydencie Walesa, oni i tak stchorza!!! przeciez to smieci sa, wykorzystuja bezkarnosc i tyle!!!|3|0|1
KOD , Nowoczesna , PO , szykują PUCZ / Zamach Stanu . Polacy zjednoczyć się Ojczyzna jest przez tą BANDĘ i ZDRAJCÓW zagrożona ! Nastąpi taki dzień , że zdrajcy zostaniecie osądzeni , Tusk , Schetyna , Petru , Kijewski - dla zdrajców i wrogów Polski i polskiego społeczeństwa miejsce jest w innym pensjonacie !!!|127|87|1
Petru najadł sie starych swetrów i bredzi,,,,wstyd popaprańcy,,,,,|43|19|1
A dlaczego tolerujesz komunistow w obecnym rzadzie oni sa swietymi krowami bo kaczor tw. balbina ich wyznaczyl|10|6|1
co na to lewaki i komuchy takie jak zakowski, schetyna i inni|57|41|1
Kasia Tusk niech juz szyje pasiaki dla starego.|42|17|1
Skoro Wałesa był wielokrotnie zamykany przez UB za to że  bo był największym krzykaczem Solidarnisci to logicznie myśląc nie powinien dożyć  poranka , bo skoro gineli zwykli obywatele któży chcieli coś zmienić a taki tfu ... Wałesa zawszy puszczany , czy to nie dziwne , a teczke to pewnie zjadł pies , łykajcie tępaki dalej te bzdury że niby on niewinny , to kłamca i prostak , dał wam wasze sto milionów , pamietam jak to sie wielce chwalił  jakie to koniaczki pił w wiezieniu i ile piwa  dostawał za co ?  KONFIDENT I TYLE|2|1|1
do gerdy:a co ci ten pis zrobil dobrego ze go tak bronisz?bo jak dla mnie to wszystko falsz i obluda ze strony pis.zabawy z ksiezmi to im tylko odpowiada.|3|1|1
Pisowski lizus.|3|0|1
To jest wina pisowskiej nagonki.Lechu nie martw się NARÓD WIE SWOJE.(nie wypowiadam się za wszystkich)|41|24|1
zamknac   te glupie dzieciaki|1|0|1
Zdrajac Narodu dostal posadke ,ze zlikwidowali polski przemysl i co niemcy powiedzma to robia nie troszcza sie o Polaka.|107|71|1
Wałęsa to jakis paranoik. Wg niego nie wazne jest to co donosił na SB a jakaś ustawka (z 10-15 osobami w tym reżyser Braun). Żenada!!!|83|48|1
szkoda, że konus nie pękł !|11|6|1
Tusk ty blaznie mafijnej UE wrog Polski nr.1|83|45|1
a widziałeś ..? złapałeś to czemu kłamiesz..? Pisowski trolu!|132|21|1
zdrajca|106|67|1
Już przynoszą odwrotny skutek i bardzo dobrze, zdrajco.|32|12|1
Zdrajca|108|3|1
TUSK postawił krzyżyk na Polskę. On wie, ze jak wróci to zostanie aresztowany i osadzony za Smoleńsk i Amber Gold!|53|28|1
Strażnik Lechistanu do Wnuczka z Wehrmachtu - NIEDALEKO PADA WNUCZEK OD DZIADKA|52|28|1
Język rynsztoka.Nikogo nie interesujesz ,zejdz z oczu nicości!|41|20|1
Nawet poza Polską działa na jej niekorzyść.  Zagorzały zdrajca.|109|4|1
zdrajca narodu i srzedawczyk na usługach szkopów. On już nie ma po co tu wracac, jest spalony. Polski rząd został wybrany w demokratycznych wyborach i oni nasza demokracje chca zakwestionowac od hasłem obrony demokracji głoszonym przez żyów i sprzedawczyków nie mogących się pogodzić z oderwaniem od koryta. Łapy precz od olski, w końcu wstajemy z kolan i całe życie nie bedziemy kleczec przed niemcami. WON! A tak na marginesie Niemcy powinni pilnowac swojej demokracji zamiast o cudza sie troszczyc bo u nich z tym cieniutenko.|74|43|1
Powiedzcie sami " jakim trzeba być POpaprańcem aby judzić przeciwko własnemu Krajowi !!|53|30|1
rudy zawsze zostanie rudym a rudy to wiadomo jaki|82|43|1
Teczki prezia nie ma , prezio ma strach a gdzie był w stanie wojennym nikt nigdy nie słyszał o kaczorkach i on teraz smie mnie starego nauczac , nigdy to ziejacy nienawiscia mały człowieczek , ludu obudz sie nadszedł czas.|1|0|1
Bolek ,gdyby Bóg karał to by cię tak kopnął w tyłek że Matka Boska by ci z klapki wypadła ,mam nadzieję że wszystko do ciebie wróci ,i oddaj moje 100 baniek złodzieju|130|93|1
Pajac się boi o własne 4 litery. doskonale wie, co go czeka. Karierę na swoim stołku w UE już za kilkanaście miesięcy zakończy, bo wątpliwe by premier RP wyraził zgodę na jego następną kadencję.  Po powrocie do Polski immunitetu też miał nie będzie.|31|12|1
Bo jesteś, sprzedawczyku, najgorszym wrogiem naszego państwa i nie trzeba być za PiSem, żeby to wiedzieć. Ja nie głosowałam za PiS, a i tak widzę kim jesteś i co robisz.|108|3|1
Zdrajca !!! Zdrajca !!! Zdrajca !!! nadęty ordynarny typ|55|26|1
Ile w nim  nienawiści, ta sierota Tusk nie może się pogodzić z tym, że to PIS naprawia Polskę po jego makabrycznych Rządach i zrobi wszystko żeby to utrudnić kosztem milionów Polaków|420|320|1
Na skarge to pojechał plastuś duduś, żenada tak jak i wszyscy z pis. prostaki z wąskimi horyzontami. wstyd na arenie międzynarodowej!|28|3|1
Żadnych spotkań z Bolkiem. IPN niech odtajni zbiór zastrzeżony, a sam Wałęsa niech odda kartki, które wyrwał i zawłaszczył. Papiery na stół, a nie debaty i spotkania z tą niemotą i kłamcą. Wielokrotnym wygrywaczem w totolotka.|63|25|1
tusek się uaktywnia bo powstaje komija Smoleńska no i cela stygnie|36|15|1
Nie dawać się żydostwu i banksterom  Nawet l.miller przyznał w wywiadzie że poprzedni parlament złamał konstytucję wybierając. wiosną 5 sędziów na zapas. przez po. psl.   Rzepliński do  natychmiastowego zwolnienia . Nie można sankcjonować takich wybryków. w wykonaniu rzeplińskiego i TK|6|5|1
albo wśród płatnych świń z pis u które nawet po wygranych wyborach kwiczą,  zachowują się tak jakby im ktoś władzę odbierał najwyraźniej sami wiedzą że to dzięki oszustwu i kłamstwom wygrali a kłamstwo ma krótkie nóżki, i kwiczą ze strachu że nie zdążą się nachapać|2|0|1
Niemcy Ciebie potrzebują  wara z Polski|32|13|1
A dlaczego nie w PiSdu. Brzmi grzeczniej|14|3|1
hahahahaaha zamknij  mord...ty SBEku|1|0|1
zdrajca, targowiczanin itp.- antypolski typ, rozwalał Polskę i okłamywał Polaków przez tyle lat- typ wałęsy i komorowskiego|53|25|1
Tepe dzidy|8|1|1
Brawo Tusk! teraz wszyscy się dowiedzą jaką rolę pełnisz w Brukseli, agencie...|108|6|1
Liberal bedzie zawsze klamca i kretaczem!!!! Ten kto pomimo to idzie za PO to jest najprawdopodobnie NIENORMALNY....|54|37|1
kaszebe wolom mieć kanclerza niż prezydenta RP, tam wszycsy majom  sztambuch|2|0|1
21  wiek  a skad tylu ateistow czyli POGAN? tepota nie ma granic|1|0|1
milcz gorszy sorcie|2|0|1
jak się nie ma nic do powiedzenia, to się pluje jadem. Ot, taka "demokratyczna" lewicowa przywara|2|0|1
Główny judasz nastaje na naszą ojczyznę!|73|41|1
a to łachudra ruda|83|45|1
JAK TAKI CZŁOWIEK JAK TUSK MÓWI ŻE JEST POLAKIEM -BYŁ NIEMCEM Z DZIADA PRADZIADA I TO SIĘ NIE ZMIENI. NIECH ON LEPIEJ DO POLSKI NIE WRACA BO GO POLACY NA TACZCE WYWIOZĄ DO NIEMIEC!!!!!!! TO DZIĘKI JEGO RZĄDOWI POLSKA WPADŁA W TAKIE DŁUGI TO W JEGO RZĄDZIE BYŁO TYLE AFER.BĘDZIE LEPIEJ JAK ON NIE MÓWI ŻE JEST POLAKIEM BO POLACY MAJĄ JUŻ DOŚĆ WSTYDU PRZEZ JEGO RZĄD I JEGO.!!!!!|83|47|1
Nie ma skandalu. Skandal był, gdy grupa(W)pros(t)siaków uznająca sie za kustoszy narodowej moralności opublikowała podsłuchy z prywatnych rozmów (bynajmniej nie na taśmach, do których wciąż odwołuję rozmaitej maści informacyjne pismackie i polityczne tępaki). Konieczne stały się natychmiastowe działania ze strony służb państwowych, gdyż jedyny w Wielkiej Trójcy Duch Święty nie okazał się pomocny w ujawnieniu  pochodzenia cyfrowych nagrań rozmów gości  restauracyjnych, dokonanych przez bandę zdeprawowanych kelnerów, którym nie wystarczyły napiwki ze strony konsumentów.|1|0|1
aleś ty glupi...|4|2|1
wykorzystywanie dzieci do niecnych czynów w państwie pislamskim nikogo nie dziwi. Prymitywni i chamscy ludzie i takie metody|3|2|1
klf....a jak donosił towarzysz Balbina, pseudo Jarosława Kalkstein/Kaczyńskiego, to znany syn warszawskiego komucha i nacjonalistycznego Żyda Rajmunda  Kalkstein/Kaczyński, który pomagał Sowietom w wyłapywaniu członków polskiego podziemia  AK, oraz był jednym z 3-ech osób, które to wydały w łapy gestapo polskiego generała Grota.........a kto wie, czym mógł zaimponować oficerowi SB Jarosław Kalkstein/Kaczyński, że ten po odmowie podpisania lojalki wypuścił go wolno i nigdy już nie nękał?....|16|8|1
Szczujnia pracuje. Wiadomo, że kto pisze w Rzepie i po co.|4|0|1
Prawactwo w akcji ... zryty beret (moherowy) i gotowe|1|0|1
Psy szczekaja,a poparcie PISu rosnie!!!!|19|10|1
Rudy ,sprzedajny VOLKSDOICZ|51|21|1
